City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lagoa,39.05,-27.9833,14.83,77,93,5.13,PT,1673049267
84,esperance,-33.8667,121.9,17.23,66,100,6.74,AU,1673049267
85,qaanaaq,77.484,-69.3632,-24.1,99,100,0.78,GL,1673049268
86,jiangkou,25.4872,119.1986,12.92,77,25,3.48,CN,1673049065
87,prince george,53.9166,-122.753,4.69,70,75,4.63,CA,1673049125
88,kodiak,57.79,-152.4072,-0.8,71,27,1.48,US,1673049269
89,thompson,55.7435,-97.8558,-13.91,92,100,4.63,CA,1673049270
90,northam,51.0333,-4.2167,12.01,96,100,12.48,GB,1673049270
91,kerouane,9.2667,-9.0167,22.4,27,5,0.53,GN,1673049270
92,srednekolymsk,67.45,153.6833,-47.38,100,89,0.35,RU,1673049271
93,mandalgovi,45.7625,106.2708,-11.03,61,76,2.89,MN,1673049271
94,brae,60.3964,-1.353,6.17,76,97,5.06,GB,1673049272
95,nouadhibou,20.931,-17.0347,19.99,49,0,7.72,MR,1673049272
96,yellowknife,62.456,-114.3525,-10.71,85,100,2.57,CA,1673049172
97,pangnirtung,66.1451,-65.7125,-24.0,77,20,1.54,CA,1673049273
98,chipata,-13.6333,32.65,18.47,94,100,1.03,ZM,1673049199
99,kruisfontein,-34.0033,24.7314,12.71,73,2,2.01,ZA,1673049274
100,leander,30.5788,-97.8531,23.57,58,0,4.12,US,1673049274
101,ambon,-3.6954,128.1814,29.08,74,40,2.57,ID,1673049074
102,iida,35.5197,137.8207,1.13,95,13,1.34,JP,1673049276
103,leningradskiy,69.3833,178.4167,-24.15,97,100,3.99,RU,1673049277
104,kieta,-6.2167,155.6333,29.39,71,91,3.64,PG,1673049278
105,sulangan,11.1373,123.7228,26.5,77,98,6.58,PH,1673049278
106,nara,34.6851,135.8049,5.83,69,77,0.71,JP,1673049279
107,abonnema,4.7084,6.7931,25.71,80,82,1.99,NG,1673049279
108,grand gaube,-20.0064,57.6608,25.77,72,17,2.68,MU,1673049280
109,bathsheba,13.2167,-59.5167,25.34,83,20,8.23,BB,1673049281
110,sao jose da coroa grande,-8.8978,-35.1478,25.82,79,5,5.0,BR,1673049281
111,sitka,57.0531,-135.33,3.0,91,100,2.77,US,1673049282
112,hilo,19.7297,-155.09,31.82,84,24,0.89,US,1673049282
113,xinzhi,36.4989,111.7047,3.66,27,0,0.65,CN,1673049069
114,ilhabela,-23.7781,-45.3581,19.92,89,100,0.72,BR,1673049135
115,grindavik,63.8424,-22.4338,-1.03,74,75,4.63,IS,1673048984
116,san cristobal,7.7669,-72.225,22.1,85,10,0.5,VE,1673049283
117,bethel,41.3712,-73.414,5.93,88,90,1.44,US,1673049284
118,cabo san lucas,22.8909,-109.9124,25.34,70,0,0.45,MX,1673049285
119,gat,31.61,34.7642,15.22,100,27,2.98,IL,1673049285
120,kapaa,22.0752,-159.319,26.17,74,0,1.79,US,1673049286
121,hithadhoo,-0.6,73.0833,27.25,73,13,4.59,MV,1673049287
122,georgetown,5.4112,100.3354,25.96,86,20,3.6,MY,1673049287
123,faanui,-16.4833,-151.75,27.26,73,97,3.88,PF,1673049288
124,tenenkou,14.4572,-4.9169,23.1,22,30,4.16,ML,1673049288
125,vaini,-21.2,-175.2,29.09,84,40,6.17,TO,1673049288
126,fortuna,40.5982,-124.1573,12.59,91,100,8.75,US,1673049289
127,sao joao da barra,-21.6403,-41.0511,23.05,94,100,6.51,BR,1673049289
128,jasper,37.2001,-94.3502,10.95,40,100,3.69,US,1673049290
129,matadi,-5.8167,13.45,23.98,97,100,0.65,CD,1673049290
130,ribeira grande,38.5167,-28.7,14.87,86,99,0.89,PT,1673049255
131,lasa,46.6166,10.7002,3.83,43,73,0.94,IT,1673049292
132,tuatapere,-46.1333,167.6833,14.98,67,99,2.93,NZ,1673049292
133,vostok,46.4856,135.8833,-20.0,90,24,0.74,RU,1673049293
134,maralal,1.0968,36.698,13.51,66,8,1.58,KE,1673049294
135,batagay-alyta,67.8006,130.4114,-42.99,96,35,2.07,RU,1673049295
136,nyurba,63.2842,118.3319,-30.75,98,100,2.5,RU,1673049295
137,arraial do cabo,-22.9661,-42.0278,21.19,87,100,6.87,BR,1673049026
138,tarakan,3.3,117.6333,23.72,100,75,2.57,ID,1673049045
139,deputatskiy,69.3,139.9,-37.81,99,99,1.09,RU,1673049296
140,pekan,3.4836,103.3996,24.06,90,100,3.14,MY,1673049297
141,toamasina,-18.1667,49.3833,24.0,88,40,2.06,MG,1673049258
142,taoudenni,22.6783,-3.9836,17.08,23,64,5.22,ML,1673049298
143,noumea,-22.2763,166.4572,32.99,99,76,3.78,NC,1673049205
144,boguchany,58.3814,97.4531,-11.2,95,100,3.29,RU,1673049299
145,torbay,47.6666,-52.7314,-2.46,85,75,3.09,CA,1673049300
146,kavaratti,10.5669,72.642,27.06,65,1,3.46,IN,1673049300
147,karratha,-20.7377,116.8463,28.39,56,19,8.74,AU,1673049290
148,bud,39.447,-86.1758,2.68,79,78,2.51,US,1673049301
149,moron,-34.6534,-58.6198,28.92,65,11,6.34,AR,1673049302
150,togul,53.465,85.9128,-13.73,97,99,1.04,RU,1673049303
151,gamboma,-1.8764,15.8644,22.89,83,99,1.39,CG,1673049079
152,viedma,-40.8135,-62.9967,31.91,22,47,8.69,AR,1673049063
153,zhangye,38.9342,100.4517,-1.46,19,1,2.11,CN,1673049304
154,killybegs,54.6333,-8.45,7.5,75,100,7.91,IE,1673049304
155,solnechnyy,50.7214,136.6319,-22.78,97,57,1.39,RU,1673049304
156,rundu,-17.9333,19.7667,21.62,72,100,1.65,NA,1673049305
157,lata,40.1629,-8.3327,12.26,87,91,2.21,PT,1673049305
158,kaseda,31.4167,130.3167,12.84,54,90,12.23,JP,1673049306
159,tasiilaq,65.6145,-37.6368,-7.46,64,95,3.64,GL,1673049306
160,hohhot,40.8106,111.6522,-10.84,67,0,1.0,CN,1673049307
161,thinadhoo,0.5333,72.9333,27.18,76,2,4.82,MV,1673049307
162,kutum,14.2,24.6667,11.21,37,31,3.16,SD,1673049309
163,ambilobe,-13.2,49.05,22.48,91,27,1.55,MG,1673049309
164,mayo,38.8876,-76.5119,8.06,58,100,6.69,US,1673049310
165,airai,-8.9266,125.4092,19.63,76,96,1.64,TL,1673049310
166,poplar bluff,36.757,-90.3929,8.52,58,62,2.55,US,1673049311
167,muzhi,65.3667,64.6667,-29.72,98,100,4.17,RU,1673049311
168,zavyalovo,54.5053,82.4484,-12.28,95,95,1.7,RU,1673049312
169,port blair,11.6667,92.75,27.02,74,40,2.57,IN,1673049312
170,nantucket,41.2835,-70.0995,6.03,96,100,5.39,US,1673049312
171,udachnyy,66.4167,112.4,-36.42,66,100,1.17,RU,1673049313
172,vichy,46.25,3.5833,8.5,94,58,1.33,FR,1673049313
173,bambous virieux,-20.3428,57.7575,25.68,83,40,1.54,MU,1673049314
174,shitanjing,39.2342,106.3439,-1.76,27,11,0.8,CN,1673049270
175,new norfolk,-42.7826,147.0587,18.84,43,8,1.81,AU,1673049314
176,makat,47.6469,53.3463,2.99,93,100,5.47,KZ,1673049315
177,hailey,43.5196,-114.3153,0.5,72,98,2.24,US,1673049316
178,katsina,12.9894,7.6006,17.73,22,60,4.63,NG,1673049148
179,manduria,40.4018,17.6335,12.77,89,0,3.38,IT,1673049316
180,orchard homes,46.8633,-114.0484,3.11,82,71,0.45,US,1673049317
181,portland,45.5234,-122.6762,12.01,71,100,7.2,US,1673049039
182,price,39.5994,-110.8107,0.59,86,40,1.54,US,1673049317
183,rondonopolis,-16.4708,-54.6356,22.53,94,100,1.08,BR,1673049318
184,guerrero negro,27.9769,-114.0611,17.74,64,0,5.07,MX,1673049319
185,sainte-marie,-20.8968,55.5496,25.79,73,100,6.17,RE,1673049319
186,saldanha,-33.0117,17.9442,17.03,80,0,7.61,ZA,1673049319
187,san patricio,28.017,-97.5169,24.05,74,0,7.11,US,1673049320
188,avera,33.194,-82.5271,10.73,61,46,2.92,US,1673049321
189,port elizabeth,-33.918,25.5701,15.73,87,0,1.54,ZA,1673049321
190,acarau,-2.8856,-40.12,26.67,79,100,6.91,BR,1673049322
191,nicoya,10.1483,-85.452,24.9,71,22,2.91,CR,1673049323
192,provideniya,64.3833,-173.3,-14.44,93,99,3.02,RU,1673049323
193,sao filipe,14.8961,-24.4956,22.94,66,92,5.26,CV,1673049255
194,tuktoyaktuk,69.4541,-133.0374,-21.0,77,100,4.12,CA,1673049325
195,lompoc,34.6391,-120.4579,17.61,74,4,2.24,US,1673049325
196,chuy,-33.6971,-53.4616,20.34,79,5,5.09,UY,1673049229
197,rio gallegos,-51.6226,-69.2181,15.03,47,75,5.66,AR,1673049326
198,bhadasar,28.2833,74.3167,8.54,19,20,3.01,IN,1673049326
199,vagur,61.4732,-6.8119,4.85,62,96,5.32,FO,1673049327
200,ossora,59.2353,163.0719,-22.95,85,92,2.56,RU,1673049327
201,vardo,70.3705,31.1107,-0.01,51,75,8.23,NO,1673049328
202,lebu,-37.6167,-73.65,15.54,85,35,1.0,CL,1673049156
203,aklavik,68.2191,-135.0107,-18.0,85,100,1.54,CA,1673049328
204,bilma,18.6853,12.9164,16.27,31,5,2.72,NE,1673049329
205,bend,44.0582,-121.3153,6.92,66,0,3.09,US,1673049106
206,orlik,52.5178,99.825,-11.37,95,99,1.48,RU,1673049329
207,hasaki,35.7333,140.8333,4.56,86,100,4.68,JP,1673049330
208,moree,-29.4667,149.85,26.45,36,1,3.04,AU,1673049293
209,linxia,35.6003,103.2064,-2.14,17,0,2.38,CN,1673049075
210,sechura,-5.5569,-80.8222,22.49,65,93,7.4,PE,1673049331
211,zyryanka,65.75,150.85,-46.45,100,98,1.5,RU,1673049332
212,ancud,-41.8697,-73.8203,15.03,92,85,2.71,CL,1673049333
213,dauriya,49.9333,116.8667,-29.54,98,8,0.87,RU,1673049333
